trump;5;Una de las ventajas de la nueva tecnología es que tenía que ser ______ de utilizar;facil;-1;Tue Mar 02 2021 19:35:16 GMT+0100 (GMT+01:00)
trump;7;¿En qué año se certifica la interoperabilidad con la norma 802.11b?;2000;1;Tue Mar 02 2021 19:36:04 GMT+0100 (GMT+01:00)
trump;17;¿Son compatibles las redes locales cableadas e inalámbricas?;si;-1;Tue Mar 02 2021 19:36:29 GMT+0100 (GMT+01:00)
trump;21;En la actualidad la Wi-Fi Allience certifica estándares que cumplen las normas: 802.11a, ______, 802.11g, 802.11n, 802.11ac, 802.11ax;802.11;1;Tue Mar 02 2021 19:37:01 GMT+0100 (GMT+01:00)
trump;32;¿En qué dos bandas de frecuencia utilizan las redes inalámbricas de las norma IEEE??;2,4GHz 5GHz;-1;Tue Mar 02 2021 19:37:28 GMT+0100 (GMT+01:00)
trump;5;Una de las ventajas de la nueva tecnología es que tenía que ser ______ de utilizar;facil;1;Tue Mar 02 2021 19:46:02 GMT+0100 (GMT+01:00)
trump;0;El término Wi-Fi es la abrevitura de:;;-1;Wed Mar 03 2021 12:15:34 GMT+0100 (Central European Standard Time)
trump;8;¿Con qué norma IEEE se certificó la primera interoperabilidad Wi-Fi?;;-1;Wed Mar 03 2021 12:15:50 GMT+0100 (Central European Standard Time)
trump;12;La norma IEEE 802.3 correspondes a las redes _____;;-1;Wed Mar 03 2021 12:15:57 GMT+0100 (Central European Standard Time)
donald;2;Qu� significa WECA?;;-1;Thu Nov 17 2022 20:54:42 GMT+0100 (Central European Standard Time)
donald;8;�Con qu� norma IEEE se certific� la primera interoperabilidad Wi-Fi?;;-1;Thu Nov 17 2022 20:58:18 GMT+0100 (Central European Standard Time)
donald;9;En abril del 2000 se certifica la interoperabilidad inal�mbica con la norma ______802.11b;asaSAs;-1;Wed Nov 23 2022 10:48:53 GMT+0100 (Central European Standard Time)
donald;16;�Existe alguna diferencia operativa entre c�mo funciona la norma IEEE 802.3 y 802.11?;;-1;Wed Dec 07 2022 19:21:49 GMT+0100 (Central European Standard Time)
donald;2;Qu� significa WECA?;gdffgdfg;-1;Thu Mar 02 2023 11:09:55 GMT+0100 (Central European Standard Time)
donald;1; Un proceso además tiene un ____________, que lo diferencia de otra instancia del mismo programa en ejecución, como el usuario que lo ha lanzado, que es el dueño de proceso, los permisos del proceso, si ha sido llamado por otro proceso, etc.;pid;-1;Fri Mar 03 2023 20:00:28 GMT+0100 (Central European Standard Time)
